t,x,y,z,dx,dy,dz,dv_st
2.7533039453615908e+02,-9.9144003070397868e-01,3.5617797064612005e-03,5.8069333994544090e-04,1.4983582550465377e-03,6.0009909579192833e-03,-1.8751237681578911e-03,1.8264632672071457e-12
2.7838962114211643e+02,-9.9144176018062524e-01,3.5624414657870395e-03,5.7173633088811703e-04,1.4947379730560978e-03,6.0137770619959063e-03,-1.8514749287762953e-03,1.4264602214097975e-12
2.8144884774807377e+02,-9.9144372862503582e-01,3.5615305238035026e-03,5.6285486429286872e-04,1.4899586822861802e-03,6.0298701233503227e-03,-1.8297576554456656e-03,1.3716053217649459e-12
2.8450807435403112e+02,-9.9144590024905055e-01,3.5591002730816349e-03,5.5416730037100091e-04,1.4841187331826457e-03,6.0489515835396857e-03,-1.8102555047990001e-03,1.6719568520784378e-12
2.8756730095998847e+02,-9.9144823768177870e-01,3.5552218593159681e-03,5.4578574237443766e-04,1.4773275991930980e-03,6.0706739118138175e-03,-1.7932137195445627e-03,1.4958437532186508e-12
2.9062652756594582e+02,-9.9145070256706225e-01,3.5499821900279198e-03,5.3781524253574276e-04,1.4697038487901503e-03,6.0946665936258970e-03,-1.7788389126018353e-03,9.5176510512828846e-13
2.9368575417190317e+02,-9.9145325608870472e-01,3.5434820654547585e-03,5.3035320553995345e-04,1.4613732855280762e-03,6.1205415139143904e-03,-1.7672992825226307e-03,2.7128029614686964e-12
2.9674498077786052e+02,-9.9145585942118009e-01,3.5358344654911941e-03,5.2348894598309179e-04,1.4524672774732001e-03,6.1478977167648274e-03,-1.7587251900319700e-03,1.9616913050413131e-12
2.9980420738381787e+02,-9.9145847411715704e-01,3.5271630111469287e-03,5.1730335584830069e-04,1.4431212530739619e-03,6.1763255690564511e-03,-1.7532099453479904e-03,2.3744534701108927e-12
3.0286343398977522e+02,-9.9146106242998933e-01,3.5176005988688413e-03,5.1186864111260404e-04,1.4334733843008813e-03,6.2054103931767912e-03,-1.7508106771427026e-03,1.0945368558168412e-12
3.0592266059573257e+02,-9.9146358759029196e-01,3.5072881938678245e-03,5.0724808984649241e-04,1.4236633986637950e-03,6.2347356546719190e-03,-1.7515491817366828e-03,1.5901867300271987e-12
3.0898188720168991e+02,-9.9146601403955348e-01,3.4963737559221800e-03,5.0349583985037573e-04,1.4138315213161968e-03,6.2638858163179822e-03,-1.7554126770106693e-03,2.0217616111040113e-12
3.1204111380764726e+02,-9.9146830763886973e-01,3.4850112619531056e-03,5.0065661951493982e-04,1.4041174869518381e-03,6.2924489752311796e-03,-1.7623544142848263e-03,7.1809627115726472e-13
3.1510034041360461e+02,-9.9147043586273653e-01,3.4733597838822270e-03,4.9876544239206349e-04,1.3946595944646276e-03,6.3200194123509412e-03,-1.7722941287529373e-03,9.1181136667728421e-13
3.1815956701956196e+02,-9.9147236798619154e-01,3.4615825715026403e-03,4.9784724374252740e-04,1.3855937734627193e-03,6.3462001784332367e-03,-1.7851183351195823e-03,8.6738727986812587e-13
3.2121879362551931e+02,-9.9147407528114517e-01,3.4498460895257192e-03,4.9791645486278182e-04,1.3770526053323981e-03,6.3706058356607365e-03,-1.8006805022825847e-03,1.8389429897069933e-12
3.2427802023147666e+02,-9.9147553122608334e-01,3.4383189554681921e-03,4.9897651990738162e-04,1.3691642829465329e-03,6.3928654671563390e-03,-1.8188011651165991e-03,1.6396399587392805e-12
3.2733724683743401e+02,-9.9147671174098606e-01,3.4271707263041290e-03,5.0101936872923249e-04,1.3620514614849422e-03,6.4126260470591667e-03,-1.8392680560366040e-03,1.5595462173223495e-12
3.3039647344339136e+02,-9.9147759544863456e-01,3.4165704844852907e-03,5.0402486907310628e-04,1.3558299916218322e-03,6.4295562450562560e-03,-1.8618363603728238e-03,3.5422854125499726e-13
3.3345570004934871e+02,-9.9147816396940869e-01,3.4066851811632537e-03,5.0796029087578647e-04,1.3506075030366971e-03,6.4433507085555064e-03,-1.8862292199276179e-03,1.6190577298402785e-12
3.3651492665530606e+02,-9.9147840224365347e-01,3.3976777025739491e-03,5.1277982547046639e-04,1.3464818527615598e-03,6.4537348323867594e-03,-1.9121386237189349e-03,7.1353279054164882e-13
3.3957415326126340e+02,-9.9147829888648986e-01,3.3897046423564752e-03,5.1842421066632853e-04,1.3435394157034382e-03,6.4604699824584166e-03,-1.9392268371250002e-03,4.1327439248561851e-13
3.4263337986722075e+02,-9.9147784655934790e-01,3.3829137780860552e-03,5.2482052079088574e-04,1.3418532713722108e-03,6.4633590961352683e-03,-1.9671285223494270e-03,1.0725576430559160e-12
3.4569260647317810e+02,-9.9147704235142686e-01,3.3774412719462326e-03,5.3188218566047171e-04,1.3414813034882478e-03,6.4622525202666647e-03,-1.9954536977442741e-03,-4.8289075493812561e-14
3.4875183307913545e+02,-9.9147588815648424e-01,3.3734086444945190e-03,5.3950930390165143e-04,1.3424642680143956e-03,6.4570538983969028e-03,-2.0237916665012444e-03,-1.9115395843982697e-13
3.5181105968509280e+02,-9.9147439102021651e-01,3.3709195955200768e-03,5.4758931383585066e-04,1.3448239187776076e-03,6.4477258590528441e-03,-2.0517160130949135e-03,-3.4864060580730435e-13
3.5487028629105015e+02,-9.9147256343922041e-01,3.3700567773623917e-03,5.5599807655615664e-04,1.3485612614518509e-03,6.4342952023995759e-03,-2.0787907212129341e-03,-9.3406997621059424e-13
3.5792951289700750e+02,-9.9147042358311166e-01,3.3708786553986844e-03,5.6460141151445941e-04,1.3536550486927708e-03,6.4168572462957041e-03,-2.1045774064496481e-03,1.4283228665590287e-12
3.6098873950296485e+02,-9.9146799540762109e-01,3.3734166114240713e-03,5.7325710468889501e-04,1.3600606389672586e-03,6.3955789628586945e-03,-2.1286435823799550e-03,-9.6438452601432797e-14
3.6404796610892220e+02,-9.9146530863993221e-01,3.3776724677438328e-03,5.8181738172433301e-04,1.3677093030511037e-03,6.3707005380601034e-03,-2.1505717975834849e-03,5.4435804486274717e-14
3.6710719271487955e+02,-9.9146239859715868e-01,3.3836166104991090e-03,5.9013180839317101e-04,1.3765081361920132e-03,6.3425350173079709e-03,-2.1699693904447528e-03,-2.7078203856945037e-13
3.7016641932083689e+02,-9.9145930582802011e-01,3.3911868852831758e-03,5.9805054604057293e-04,1.3863406263355670e-03,6.3114657513355654e-03,-2.1864785261245722e-03,3.2926909625530243e-13
3.7322564592679424e+02,-9.9145607555749427e-01,3.4002884153346790e-03,6.0542785679953710e-04,1.3970679770565369e-03,6.2779414612414985e-03,-2.1997861062214266e-03,1.3459008187055589e-12
3.7628487253275159e+02,-9.9145275693419310e-01,3.4107944515959360e-03,6.1212572388348802e-04,1.4085312055614686e-03,6.2424688580814403e-03,-2.2096330908370036e-03,1.8565915524959561e-13
3.7934409913870894e+02,-9.9144940209101395e-01,3.4225483125672278e-03,6.1801743014123914e-04,1.4205540041932513e-03,6.2056029048739303e-03,-2.2158227524110914e-03,6.5765343606472016e-13
